                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.89027,                 1.7814,                 1.2757,                0.64942,                0.77703,                0.76524,                0.59937,                0.66979,                 2.3335,                 1.2675,             0.00032593,             0.00032593,             0.00032593
                      2,                0.68291,                0.80148,                 1.1192,                0.58789,                0.48491,                0.50155,                0.38455,                0.91495,                 2.2251,                 1.6907,             0.00065273,             0.00065273,             0.00065273
                      3,                0.70797,                0.76634,                 1.1322,                0.61213,                0.68892,                0.67701,                0.50131,                0.88833,                 1.7856,                 1.7661,             0.00097294,             0.00097294,             0.00097294
                      4,                0.70409,                0.71952,                 1.1275,                0.58925,                0.60079,                0.59901,                0.43322,                0.91819,                 1.6445,                 1.7372,              0.0009703,              0.0009703,              0.0009703
                      5,                 0.6668,                0.66774,                 1.1071,                0.67301,                0.68679,                 0.7331,                0.55841,                0.77457,                 1.3756,                  1.442,              0.0009604,              0.0009604,              0.0009604
                      6,                 0.6508,                0.63661,                 1.0972,                0.75499,                0.79621,                0.82942,                0.69255,                0.60828,                0.89199,                 1.2443,              0.0009505,              0.0009505,              0.0009505
                      7,                0.62906,                0.60217,                 1.0857,                0.77487,                0.77015,                0.85426,                0.69676,                 0.6435,                0.77472,                  1.274,              0.0009406,              0.0009406,              0.0009406
                      8,                0.60705,                0.58019,                 1.0715,                 0.8638,                 0.8721,                0.92756,                0.77065,                0.60992,                0.63401,                  1.242,              0.0009307,              0.0009307,              0.0009307
                      9,                0.59761,                0.56991,                 1.0669,                0.78094,                0.78404,                0.86088,                0.74056,                0.55019,                0.73451,                 1.1458,              0.0009208,              0.0009208,              0.0009208
                     10,                0.58145,                0.54039,                 1.0548,                0.88666,                0.88542,                0.93908,                0.81419,                0.52289,                0.48235,                 1.1197,              0.0009109,              0.0009109,              0.0009109
                     11,                0.56856,                0.52279,                 1.0447,                0.88213,                0.89708,                0.93614,                0.81751,                0.49794,                0.46599,                 1.1035,               0.000901,               0.000901,               0.000901
                     12,                0.56195,                0.50803,                 1.0447,                0.85191,                 0.8948,                0.93464,                0.81249,                0.49772,                0.48376,                 1.1074,              0.0008911,              0.0008911,              0.0008911
